,publisedAt,username,commentDisplay
32,2025-11-12T04:49:43Z,@NN-dt2ov,"Redenominasi disaat inflasi &lt;10% .. kalau 2 digit ke atas kek Zimbabwe, Venezuela, etc. Ya dijamin gagal. Faktanya inflasi Indonesia ga nyampe 3%. Apalagi kebijakan dan arah politik Presiden banyak memangkas akar permasalahan negeri ini, jadi berkesinambungan semua dan redenominasi ini jadi langkah yang tepat. Kecuali buat antek asing dan koruptor, perusak negara !"
33,2025-11-12T04:48:45Z,@RaihanWardhanaa,Angka 0 dibelakangnya dijadikan sangat lebih kecil buat adaptasi
34,2025-11-12T04:48:02Z,@ammarnash,Apakah munking di masa depan sebutan duit indo akan mirid malay
35,2025-11-12T04:47:58Z,@Nuurungji,"menurutku sebelum redenominasi dilaksanakan, lakukan terlebih dahulu cash less + pembatasan transaksi tunai max 10-5juta diatas nominal itu hanya lewat perbankan serta perketat sistem keuangan negara agar tidak terjadi lagi kebocoran korupsi percuma redenominasi dilakukan koupsi tetap berjalan lancar.<br>SARAN sebaiknya sebelum redenominasi dilakukan gunakan seperti MATA UANG IRAN terlebih dahulu setelah itu redenominasi bisa dilakukan, cek dan pelajari MATA UANG IRAN yang sekarang"
36,2025-11-12T04:44:17Z,@jonilopez8889,"Menurut gw sebagai orang kampung,ini bakal sukses jika, sosialisasi nya tersalurkan, ,"
37,2025-11-12T04:43:04Z,@Naishakarissa,"2 periode jokowi cetak uang baru gak kira2, bahkan tnpa ada penarikan uang lama"
38,2025-11-12T04:42:07Z,@kingofstrike1234,"gw binggungnya kalau 1000 jadi rp 1, yang recehan jadi berapa wkwk"
39,2025-11-12T04:41:10Z,@EviIqbal-g8k,"Apa sih untungnya,,, apa nti harga sembako bakal turun???"
40,2025-11-12T04:40:48Z,@DrRachelVeronica,Ampun Indonesia banyak yg so tau tukang konten cuma tutorial ambil data orang tapi bukan secara akademis nya pengetahuan nya.. di China jepang Korsel ga ada ikut ikutan ngomongin narasi kebijakan pemerintahan jangan demi konten kmu bikin gen Z pada memahami konten kmu salah..
41,2025-11-12T04:39:43Z,@OtetKucrit,"Cukup nonton sampai <a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=18"">0:18</a> detik pertama &quot;1965 gagal total&quot;. Entah gimana endingnya. Yang jelas di awal sudah terjadi penggiringan pada arti yang salah kaprah antara Senering/dievaluasi dan Redenominasi."
42,2025-11-12T04:39:15Z,@daifullahjarkasih3040,"gw sih setuju...biar lebih simpel, dan mata uang rupiah &quot;agak&quot; terangkat nilainya di banding dollar. contoh nya..berapa 1 usd ? Rp 16 aja...lebih keren kan...😂😂"
43,2025-11-12T04:38:29Z,@9080sboy,"Ini bukan buru2 sih, wacananya aja dah dari kapan tahun"
44,2025-11-12T04:38:03Z,@Didiet15,"Soal edukasi ke masyarakat kayaknya yang paling berat, karena masyarakat (khususnya pedalaman) masih kurang literasi dan sulit dapat informasi. Agak keluar sedikit, seperti halnya perubahan dari sinyal analog ke digital aja sosialisasinya lebih dari 10 tahun. Dan disaat eksekusi banyak masyarakat yg panik karena TV nya belum siap terima sinyal digital. Mungkin untuk bagian ekonomi harus lebih gencar soal edukasi dan literasi supaya ngga ada lagi kepanikan. Saya sih sejujurnya sudah nunggu lama wacana ini dijalankan, supaya mata uang kita ngga lagi dianggap mata uang &quot;sampah&quot;."
45,2025-11-12T04:37:46Z,@farifairis7388,Saya rasa ini akan sukses ya!<br>Karena melihat media kita sekarang yg massif..<br>Tinggal bayar buzzer tiktod aja buat nyebarin informasi ini hingga ke masyarakat paling bawah..
46,2025-11-12T04:37:14Z,@thunderwolf6964,jaman sekarang-kan jaman internet bang ada kemungkinan masyarakat untuk mengetahui tentang ini kemungkinan berhasil-nya tinggi gak seperti dulu yg penyebaran informasi lambat<br><br>dan untuk uang cast-nya menurutku bentuk dan pola-nya harus sama biar gak ada kebinggungan cuman 0 nya aja yg dikurangi<br><br>koreksi bang kalau saya salah
47,2025-11-12T04:36:44Z,@longlife7431,Gaji 5jt jadi 5rb kyk kang parkir
48,2025-11-12T04:36:41Z,@sakoen,"Dari Sisi IT,  ga semudah hilangin value 000 di dalam database/storage.  karena valuenya bukan hanya 0 saja, tapi ada angka rupiah entah sekedar 001 atau 999 rupiah. mau di taruh mana value ini, bayangin system dengan 10juta subscriber.  worst case 10juta subscriber x 999 rupiah = hampir 10 miliar, ini big money.  <br><br>kemungkinan IT ga mau pusing angka di database akan tersimpan sebagai mana adanya sebelum redenominasi."
49,2025-11-12T04:34:57Z,@realmentobacco9219,Vibes pak Purbaya itu bagus dibandingkan pejabat lain. Trustnya kuat. Kepemimpinannya fresh. Saya dukung
50,2025-11-12T04:34:49Z,@justhendi,"Logika terbalik tuh contoh yg dipake, Redenominasi tidak menyebabkan inflasi, tapi inflasilah yg menyebabkan redenominasi. Kasus seperti Venezuela, Zimbabwe, dan Indonesia 1965 contohnya. Jika ekonomi stabil spt skrg dgn angka inflasi tidak &gt;10%, sangat bisa dijalankan program ini seperti yg pernah dilakukan Israel, Poalndia, Russia, bahkan Turki"
51,2025-11-12T04:31:08Z,@RichelleAyu,"saya si optimis bgt kali ini berhasil. soalnya emg dampak social media udh mengagumkan bgt. isu &amp; himbauan influencer itu udh bener2 menyerap dg cepet bahkan ke masyarakat yg bukan penonton aktif. dia bakalan tetep denger dr lingkunganya, tetangganya dll.<br>cotohnya yg pas demo kmarin, pas ada isu sara, langsung ditepis sama influencer, dan alhamdulillah semua masyarakat kita ga ada yg terpengaruh, walopun keadaan lg chaos &amp; sempet ngira bakal terpengaruh.."
52,2025-11-12T04:30:47Z,@Havanaz-u9e,"Seriously, yg jadi masalah besar investor shg gak mau masuk ke Indonesia adalah masalah korupsinya, bukan 000 itu. Lebih baik beresin dulu semua korupsi itu dan perkuat perekonomian dalam negeri, buat banyak lapangan pekerjaan baru. Jangan sibuk ngurusin image 000 dan berat2in anggaran negara"
53,2025-11-12T04:30:20Z,@ZeroGame-e9w,REDENOMINASI = MANIPULASI INFLASI
54,2025-11-12T04:28:03Z,@MuhammadRizki-v2d,Saatnya bermain saham rp nih nyoba2
55,2025-11-12T04:27:54Z,@sapimerah-w7h,redenominasi bagus lanjutkan
56,2025-11-12T04:26:30Z,@widya2550,"joss banget nih channel, bisa belajar banyak dari sini"
57,2025-11-12T04:26:28Z,@hazmanriess8949,Today. 1 ringgit= 4047 rupiah
58,2025-11-12T04:24:45Z,@bennyirawan5086,Uang yang yang dikubur akan keluar semua ke permukaan seperti belatung yang keluar dari bangke .. 😂
59,2025-11-12T04:24:12Z,@FendyItem-bb8tw,"Klo saya setuju..walopun beresiko,tidak dilskukan pun ekonomi kita begini,lebih baik ambil resiko untuk lebih baik"
60,2025-11-12T04:23:46Z,@aubreysong,"Tahun 1965? Tahun chaos dimana CIA paling giat obok2 dan ada ricuh pemberontakan PKI? Tahun paling banyak sabotase politik, ekonomi, dan sosial? Ya wajar kalau gagal."
61,2025-11-12T04:23:01Z,@kerajinanbunga,"Jika sekarang sih lebih mudah sosialisasi,tua muda bocil pegang hp, apa lg sekarang sudah era pembayaran digital, qris"
62,2025-11-12T04:20:42Z,@slametwaluyo5815,"Tapi para cukong licik tidak segan2 menaikkan harga-harga 1 atau 2 rupiah, harusnya harga 10 dinaikin 11 kan cuma naik 1 wwkkkk padahal aslinya 1000"
63,2025-11-12T04:20:19Z,@hendriberbudi2510,"1965 itu kan gk ada hp sekarang 90% udah pd ngerti..  ada Q&#39;RIS buat bayar.<br>Klo uang loe banyak ya belanjain, klo masih kebanyakan ya bayar pajaklah cuk"
64,2025-11-12T04:17:58Z,@denideni8880,"Bukannya dulu emang nol nya hilang benar intinya nilainya emang hilang emang jelas dipotong yang bilang almarhum ibuku ,apa emang dibingungin dulu untuk orang2 yang masih belum tau"
65,2025-11-12T04:17:49Z,@annaanna8292,Apapun kebijakannya jangan merugikan rakyat
66,2025-11-12T04:17:22Z,@durivlog123,Yg korupsi 300.000.000.000.000 sekejab berubah jadi 300.000.000.000 😂
67,2025-11-12T04:17:11Z,@ROHMAN_JR.,Kalok tidak rubah bisa ngemblemg semua kalkulator di Indonesia
68,2025-11-12T04:16:59Z,@andialexy,Intinya Sosialisasinya harus merata sampai ke pelosok Negeri
69,2025-11-12T04:16:42Z,@MRCHANNEL2123,sebenarnya lebih enak naikin  nilai rupiah sih kaya zaman sby  1usd udah 8000 rupiah
70,2025-11-12T04:15:38Z,@husnulrais2424,Sekarang lebih posible to try sih apalagi di kota besar karena ada QRIS jugaa..
71,2025-11-12T04:14:53Z,@El-Ge,Saya setuju redenominasi rupiah.
72,2025-11-12T04:14:35Z,@ghaidayumnachannel4356,Kalo pembulatan kebawah namanya deduct mas
73,2025-11-12T04:13:23Z,@ayehamus36,ternyata kebanyakan aset AI generated.. bikin sensasi nyaman nonton RC jadi berkurang..
74,2025-11-12T04:13:02Z,@aikoyunichi-m7g,"Nggak bisa kita samakan ditahun 1965, beda jauh dong, ditahun 1965 itu bisa dikatakan sanering dimana ditahun 1965 nilai uang kita berkurang kalau inikan nilai uang kita tetap cuma disederhanakan aja, bedain dong inflasi dengan menyederhanakan mata uang menurut saya anda pintar lho kok begini pemikirannya.."
75,2025-11-12T04:12:53Z,@artapranata3745,"Dari bennix,raymond. Tlong edukasi"
76,2025-11-12T04:12:41Z,@liquidapple5540,Berarti emas naik lagi kah
77,2025-11-12T04:09:55Z,@Irene_Hwang,"Jaman sekarang gampang aja, lebih gampang lagi kalau desain uangnya dibuat sama persis supaya memudahkan masyarakat. Misal desain uang Rp 20 dibuat persis warna hijau seperti Rp 20 ribu, uang Rp 100 dibuat persis warna merah Soekarno Hatta seperti Rp 100.000"
78,2025-11-12T04:08:17Z,@zakiamcon3452,Redemination is the best solution but momentum should be right time
79,2025-11-12T04:06:57Z,@srihildaini8996,"Aku sih setuju ya sama redenominasi, krn itu bakalan mempermudah accounting bgt."
80,2025-11-12T04:05:17Z,@panijesa_5514,Singkat padat wok the tok
81,2025-11-12T04:05:02Z,@raiderdragrace2595,"Saya engga setuju bikin pusing takutnya ekonomi ambruk gara2 salah hitung uang,,,saya orang desa yang tidak mengerti nominal"
82,2025-11-12T04:02:29Z,@gsicatapult,ya kan produsen juga sama di pangkas juga nol nya misalnya harga 2.000.000 jadi 2000<br>kita bayar 2000
83,2025-11-12T04:02:19Z,@hendriefendi2441,"YA BEDA LAH BOSS.. 1965 INDONESIA BARU-BARU MERDEKA, EKONOMI MASIH LEMAH BANGET BARU DIBANGUN, SEKTOR PERTAMBANGAN BELUM ADA, INDUSTRI MASIH KECIL BANGET, PERKEBUNAN,PERTANIAN BELUM MODERN, KALAU SEKARANG JANGAN DITANYA, INDUSTRI, PERTAMBANGAN,PERKEBUNAN,PERTANIAN UDAH BESAR BANGET. JADI JANGAN RAGUKAN LAGI KALAU REDENOMINASI AKAN SANGAT MEMPERKUAT SISTEM KEUANGAN INDONESIA."
84,2025-11-12T04:02:12Z,@Aris_Suprianto,Ngitung di kalkulator yaa gimana yaaa...
85,2025-11-12T04:01:11Z,@perfected-Batara,Duit koruptor duit haram duit nyolong duit curi curi duit TUYUL duit GK kepakai duit kertas duit GK laku..duit merugikan..iya reset Saja rupiyah..duit di Indonesia Ter identifikasi 50% duit tuyul..duit liar duit korup. Jadi ya reset..
86,2025-11-12T03:56:32Z,@sahabatdewata5240,Saya setuju 1000%<br>Mungkin loe hrus undang benix diskusi ini pasti seru
87,2025-11-12T03:54:46Z,@putuekadwipayana102,"Yang penting, semua koruptor terdekteksi dengan program ini"
88,2025-11-12T03:54:23Z,@perfected-Batara,Koruptor tua dan koruptor lawas yg ketar ketir..buang duitnya ganti..yg baru..?GK ada tukar tukaran bro hiiii
89,2025-11-12T03:54:11Z,@alterunion,"redenom juga secara tidak sadar sudah terjadi sejam lama dimana orang2 biasa melakukannya saat transaksi, contoh brp total belanja 30 pak, atau brp harganya ? 300, atau di jual brp ? 1000 yang mana 30, 300, 1000 mewalkili 30000, 300000, 1000000"
90,2025-11-12T03:54:08Z,@mabali5434,"Untuk sekarng bagus redenominasi bng , soalnya inflasi kita sekarang dibawah 10% , langkah yang bagus buat redenominasi ,, negara&quot; yng gagal itu udah inflasi gede malah redenominasi ya makin ambruk"
91,2025-11-12T03:54:05Z,@DalvinAlhanan,Lw sekarang yakin sukses kenapa karena banyak anak anak youtube yang mengedukasi artinya anak anak gen z dan Melenial akan membantu ibu ibu bapak yg tak paham.. Ini kebangangan rakyat Indonesia jika 100.000 menjadi 100 rupiah
92,2025-11-12T03:53:53Z,@lechouettes9778,"-Klu denger buat vs korupsi jelas setuju banget 😂...<br>-efek psikologis masyarakat memang paling penting, produsen atas(pintar) di awasi pemerintah langsung sdgkan produsen&amp;masyarakat bawah( UMKM&amp; pedesaan) di berikan pembritaan tentang  keuntungan redenominasi dan agar tdk menaikkan harga Krn malah akan terjadi kerugian ( bersifat internal individu)"
93,2025-11-12T03:53:40Z,@adhieprastya,Yang bikin gagal dari dulu itu koruptor yg nyimpen duit cash M M an di apartemen gak sih? 😅
94,2025-11-12T03:53:15Z,@rilaksaplayground1461,"Ahhh adikan emas aja dulu ahhh ya kalau sukses , kalau gagal ?? <br><br>Misal beli Antam 2.400.000 di redenominasi harus nya 2.400  tapi kalau gagal ... Beli emas per gram nya bukan 2.400 tapi inflasi seketika jadi  di atas 2.400 bisa 5.000 ?? Ah serem banget inflasi nya <br><br>Kalau di bekukan jadi emas , harga nya akan mengikuti nilai saat itu ..."
95,2025-11-12T03:52:28Z,@cangkakcoc8240,KORUPTOR AKAN BINGUNG UANG SIMPANAN BJIBUN
96,2025-11-12T03:51:24Z,@MeggieGiorgio,"Ga muluk~muluk yg penting ukuran uang panjang lebar nya sama gada yg beda , bahan/tekstur uangnya bagus canggih ga mudah (robek,lecek, atau dipalsukan) cuma itu aja sih , Belajar dari kesalahan Memulai awal yg baru .."
97,2025-11-12T03:50:51Z,@WawanGunawan-rm7kv,"Setuju untuk moneter, yaitu tegaskan bank pelaksana untuk mengikuti Kebijakan Bank Indonesia, mis : bunga diturunkan ole BI"
98,2025-11-12T03:50:24Z,@awp_com1101,"mending narasi positif aja, gak byk bla3... Redominasi lebih banyak positif nya segera dilaksanakan...."
99,2025-11-12T03:50:10Z,@hidhypenyfratsongkowati5139,"Bagus lagi di reset ke sistem uang perak dan emas sebagai standarnya, bakal full power plus terapkan ekonomi islam secara menyeluruh."
100,2025-11-12T03:49:44Z,@adjibagus6275,"Kita juga scara gak sadar udah sring nglakuin rednominasi di kehidupan shari2, contohnya harga barang 500.000 kta cm nyebut 500, 200, 100 dll. <br>Dan bener, yg pling pnting adalah psikologi ekonominya jd lbih positif krna seolah mata uang kita kuat di mata dunia, ntar 1 USD = 16 Rp bos, wow crazy! kapan lagi! 🎉"
101,2025-11-12T03:49:26Z,@SugionoSukur-tb6ot,Smoga di realisasikan
102,2025-11-12T03:48:00Z,@perfected-Batara,Klo sekarang iya GK mikir riset sj..klo GK boleh tambah lagi ndolnya 3 ..yg stres negara sendiri..koruptornya msh bada berduit berjaya di potong mewek ..bodo amat PK Pur reset setarakan lu Mentri miskin itu orang korupsi  kaya. Gmn urusanya??
103,2025-11-12T03:47:55Z,@wigitomitro9918,Guaaaaa ngk setujuuuuu. Ntr ada lagi pecahan 500. Dan 1000 setelah jalan 5 thn.
104,2025-11-12T03:47:30Z,@burnbakhri1655,Bila dengar penerangan kamu aku sedar yang kamu jauhhhh lebih pinter dari si Bennix.
105,2025-11-12T03:47:16Z,@perfected-Batara,"Klo sekarang mungkin tepat..klo rokok 25 juta kn repot..??rokok sj SDH 30.000 malingsia.7ringit..rm.??buang ndolnya bnyk bodo amat yg duitnya banyak emknitu hrs di sita kok kbnykan duit nt nt..??,,serakah dlm khdupan..stres di ganti ndolnya mampus .??"
106,2025-11-12T03:45:53Z,@WahidHasim-oz4in,"percepat, ini akan bagus untuk indonesia, kejutan untuk para koruptor yang menyimpan tunai dirumahnya, uangnya tidak akan laku lagi"
107,2025-11-12T03:45:25Z,@MinoHartono-y9s,"Kalau 1000 rupiah jadi 1rupiah, berarti 500rp jadi sen ya..?"
108,2025-11-12T03:44:44Z,@ArmanSyafrizal,"Dah lah bang, negara ini pun dah babak belur. <br>Korupsi nya dah gak tertolong lagi, jadi ya mending dilebur aja sekalian. <br><br>Kalo gagal juga gak jadi soal."
109,2025-11-12T03:44:39Z,@febri9847,"Pendapat pribadi, art AI nya ganggu"
110,2025-11-12T03:44:06Z,@lirikterjemahan8175,Kalo beli tahu bulat sebiji doang bayarnya brp ya? 0.5 rupiah? Atau pake sen? Kan pecahan terkecilnya Rp1.
111,2025-11-12T03:43:13Z,@MitraJaya_99,Semoga nggak terjadi hyper inflasi 😂😂😂
112,2025-11-12T03:43:01Z,@mudiyonooke2306,"Saya rasa gak perlu sosialisasi soalnya uang akan ditukar dibank jadi orang yg punya uang gede akan ditukar dibank 100.000 Rp jadi 100 Rp uang baru , masarakat sudah pada cerdas dan.sos med sekarang sudah tidak asing bagi masarakat"
113,2025-11-12T03:42:11Z,@Manutaku98manut,percuma. tingkatkan nilainya yang penting atau ganti emas aja
114,2025-11-12T03:41:21Z,@MuhamadHilal-d5v,Suruh gibran ngejelasin kaya gini bisa ga ya? 🤔
115,2025-11-12T03:41:17Z,@JamilUdin-p1h,"Sekarang zaman media sosial dan informasi mudah,bahkan sampai kampung kampung, mungkin  lebih mudah sosialisasi"
116,2025-11-12T03:38:09Z,@agamGG991,Yang berkurang bukan velue nya tapi nominal saja nggak sih bang... Tapi emang bahaya sih kalo gak di perhitungkan dengan matang...
117,2025-11-12T03:37:43Z,@triwiyono888,Redenominasi harus. Karena inflasi sangat rendah. Lihat Turkey Romania dan Russia sangat sukses.<br>Jangan lihat Zimbabwe dan Venezuela yg inflasi nya ribuan dan jutaan persen.
118,2025-11-12T03:36:57Z,@adamsumboko4446,"warga indo adalah warga yang paling pinter soal ngakalin sesuatu, kalau orang luar rusak ya beli baru, orang indo, dibenerin sampe mampus. kalau emng udh gk bisa dipake ya baru beli baru, hal ini juga akan terjadi dalam konteks ini, akan ada ajh ide ide liar buat ngakalin sistem, yang jelas itu akan menguntungkan mereka2. apalagi sasarannya salah satunya koruptor, itu koruptor bisa korupsi ajh kn ngakalin sistem, ya dia bakal ngelakuin hal yg sama lah untuk kasus ini. <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>. yang bermasalah itu dari dulu itu SDM nya, bukan sistemnya. SDM nya bnr, sistem gk bnr pun nanti jadi bnr."
119,2025-11-12T03:36:54Z,@lang-krp,"Let&#39;s see, apakah trauma Generasi tahun 60-an bakal terulang kembali?"
120,2025-11-12T03:35:44Z,@DevDana,Uang lama aja masih berlaku transaksi di masyarakat (selesaiin itu dulu)
121,2025-11-12T03:35:08Z,@OfficialJohana,"Argumen redenom menarik uang hasil korupsi biar masuk ke dalam sistem ekonomi itu sama dengan argumen SMI dulu ngadain Tax Amnesty supaya pengusaha2 yg simpen duitnya di luar mau balik kesini dan bayar pajak. Cuma indah di atas kertas itupun dengan catatan asalkan penegakan hukumnya jalan. Coba lihat tax amnesty yg berseason2 itu? Mana hasilnya? Ada netes ke rakyat?<br><br>Selain itu, argumen itu jg mengaburkan batas tugas lembaga negara dalam pemberantasan korupsi, yg mana harusnya kalo emg mau duit2 koruptor itu naik ke permukaan ya tugas  KPK dibantu BPK dan PPATK yg tangkep dan sita terus balikin ke kas negara bukan malah redenom.<br>  <br>Redenom ini kan proyeknya bank Sentral, bank Sentral posisinya dlm  pemberantasan korupsi sebatas pengawasan thd money laundering yg ga perlu redenom jg harusnya udh jalan setiap hari krn bank2 harus lapor kalo ada transaksi mencurigakan. Drpd dikaitkan dgn duit korupsi Dr sisi BI lebih pas kalo redenom ini align dengan blue print mrk soal modernisasi sistem pembayaran."
122,2025-11-12T03:35:07Z,@hanafilatif6111,"beberapa dari kita aja yg mungkin bs dbilang generasi melek informasi aja msh salah mengartikan redonimasi.. apalagi mereka yg kesehariaannya disawah, pasar dan tempat2 yg blum terjamah informasi.. bs kalangkabut asli.."
123,2025-11-12T03:34:35Z,@brunohikkmat8795,ORA NGARUH ORA PENTING SING ONO KORUPTOR DUITE TRILIUNAN KETOK JUTAAN TOK😅
124,2025-11-12T03:32:05Z,@dayyanthi9878,Undang menteri Purbaya dong
125,2025-11-12T03:31:45Z,@ngapainturing,Udah paling bener redenominasi lalu rupiah dijamin emas
126,2025-11-12T03:28:30Z,@anwarnasution6896,"lebih cepat lebih BAIK,agar uang koruptor bisa di tarik Negara... kong x kong aja 50% buat Negara.... 😮😮😮"
127,2025-11-12T03:28:27Z,@xoconat,"Aku sebagai seorang kasir yang mengaudit dan mencatat keuangan harian sih, setuju. Karena kalau kebanyakan 0 juga pusing dan ribet. Aku kalo menghitung keuangan pribadi selalu ngga pakai 0 😂 yang 500an sekian nya dihitung terpisah wkwkwk"
128,2025-11-12T03:25:26Z,@andikaprayogi6541,"Ini terlalu radikal, yang seharusnya jadi fokus pertumbuhan ekonominya"
129,2025-11-12T03:24:22Z,@Opiniterkini-1,Loe belajar lagi sama bennix
130,2025-11-12T03:24:18Z,@nekokanika5953,Biar gak pusing bikin aja 1k 2k 3k <br>Nah setelah terbiasa baru next nya huruf K nya di hilang kan
131,2025-11-12T03:23:57Z,@Nomade.end7,"Lihat moralitas rakyat dan pejabat kita yg rendah maka kesempatan ngemplang dengan roundup harga atau pembulatan keatas pasti akan terjadi, maka inflasi tinggi PASTI Terjadi jika kebijakan ini dilakukan. Jika hal itu cepat diatasi maka redenominasi akan netral menuju sukses."
