,publisedAt,username,commentDisplay,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_final,Sentiment,Sentiment_Label
10,2025-11-12T04:53:28Z,@LesleyHope-j2t,Suasana hati bisa berubah setelah buka P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?,Suasana hati bisa berubah setelah buka PULAUWIN,suasana hati bisa berubah setelah buka pulauwin,suasana hati bisa berubah setelah buka pulauwin,"['suasana', 'hati', 'bisa', 'berubah', 'setelah', 'buka', 'pulauwin']","['suasana', 'hati', 'berubah', 'buka', 'pulauwin']",suasana hati berubah buka pulauwin,1,Neutral
11,2025-11-12T04:53:27Z,@KarenSmith-o1n,"Sekali buka 🄿🅄🄻🄰🅄🅆🄸🄽, lupa waktu.",Sekali buka  lupa waktu,sekali buka  lupa waktu,sekali buka lupa waktu,"['sekali', 'buka', 'lupa', 'waktu']","['buka', 'lupa']",buka lupa,1,Neutral
12,2025-11-12T04:53:25Z,@AbigailCook-Barnes,Gak perlu banyak alasan buat balik ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕.,Gak perlu banyak alasan buat balik ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕,gak perlu banyak alasan buat balik ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕,tidak perlu banyak alasan buat balik ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕,"['tidak', 'perlu', 'banyak', 'alasan', 'buat', 'balik', 'ke', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕']","['alasan', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕']",alasan 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕,1,Neutral
13,2025-11-12T04:53:24Z,@KatieThomas-Hussain,"Dibilang random, padahal rutin ke P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?",Dibilang random padahal rutin ke PULAUWIN,dibilang random padahal rutin ke pulauwin,dibilang random padahal rutin ke pulauwin,"['dibilang', 'random', 'padahal', 'rutin', 'ke', 'pulauwin']","['dibilang', 'random', 'rutin', 'pulauwin']",dibilang random rutin pulauwin,1,Neutral
14,2025-11-12T04:53:19Z,@JeanBaker-d8t,Gak jenuh kalau ada P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? di sela hari.,Gak jenuh kalau ada PULAUWIN di sela hari,gak jenuh kalau ada pulauwin di sela hari,tidak jenuh kalau ada pulauwin di sela hari,"['tidak', 'jenuh', 'kalau', 'ada', 'pulauwin', 'di', 'sela', 'hari']","['jenuh', 'pulauwin']",jenuh pulauwin,1,Neutral
15,2025-11-12T04:53:13Z,@BryanWard-Hall,Capek pikiran? Coba selipin waktu buat P 𝖀 L 𝖠 𝖀 W 𝖨 𝖭.,Capek pikiran Coba selipin waktu buat P 𝖀 L 𝖠 𝖀 W 𝖨 𝖭,capek pikiran coba selipin waktu buat p 𝖀 l 𝖠 𝖀 w 𝖨 𝖭,capek pikiran coba selipin waktu buat p 𝖀 l 𝖠 𝖀 w 𝖨 𝖭,"['capek', 'pikiran', 'coba', 'selipin', 'waktu', 'buat', 'p', '𝖀', 'l', '𝖠', '𝖀', 'w', '𝖨', '𝖭']","['capek', 'pikiran', 'coba', 'selipin', 'p', '𝖀', 'l', '𝖠', '𝖀', 'w', '𝖨', '𝖭']",capek pikiran coba selipin p 𝖀 l 𝖠 𝖀 w 𝖨 𝖭,1,Neutral
16,2025-11-12T04:53:11Z,@PaulineGraham-g6f,"Dibilang mager, padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.",Dibilang mager padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,dibilang mager padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,dibilang mager padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,"['dibilang', 'mager', 'padahal', 'lagi', 'buka', '𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝']","['dibilang', 'mager', 'buka', '𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝']",dibilang mager buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,1,Neutral
17,2025-11-12T04:53:06Z,@Faiz509,Itukan dulu. Sekarang rakyat pinter pinter.,Itukan dulu Sekarang rakyat pinter pinter,itukan dulu sekarang rakyat pinter pinter,itukan dulu sekarang rakyat pinter pinter,"['itukan', 'dulu', 'sekarang', 'rakyat', 'pinter', 'pinter']","['itukan', 'rakyat', 'pinter', 'pinter']",itukan rakyat pinter pinter,2,Positive
18,2025-11-12T04:53:06Z,@SamuelMcKenzie-l2p,Rame-nya beda kalo diP͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?,Ramenya beda kalo diPULAUWIN,ramenya beda kalo dipulauwin,ramenya beda kalau dipulauwin,"['ramenya', 'beda', 'kalau', 'dipulauwin']","['ramenya', 'beda', 'dipulauwin']",ramenya beda dipulauwin,1,Neutral
19,2025-11-12T04:52:44Z,@JaniceBennett-t8c,"Jeda sebentar, mampir ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 dulu.",Jeda sebentar mampir ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 dulu,jeda sebentar mampir ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 dulu,jeda sebentar mampir ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 dulu,"['jeda', 'sebentar', 'mampir', 'ke', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕', 'dulu']","['jeda', 'sebentar', 'mampir', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕']",jeda sebentar mampir 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕,1,Neutral
20,2025-11-12T04:52:40Z,@TonyWhite-e3u,"Tiap buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡, pikiran lebih enteng.",Tiap buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 pikiran lebih enteng,tiap buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 pikiran lebih enteng,tiap buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 pikiran lebih enteng,"['tiap', 'buka', '𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡', 'pikiran', 'lebih', 'enteng']","['buka', '𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡', 'pikiran', 'enteng']",buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 pikiran enteng,1,Neutral
21,2025-11-12T04:52:39Z,@DrKatePowell,"Niat awal nyari hiburan, nyangkut di ͟PU͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?",Niat awal nyari hiburan nyangkut di PULAUWIN,niat awal nyari hiburan nyangkut di pulauwin,niat awal nyari hiburan nyangkut di pulauwin,"['niat', 'awal', 'nyari', 'hiburan', 'nyangkut', 'di', 'pulauwin']","['niat', 'nyari', 'hiburan', 'nyangkut', 'pulauwin']",niat nyari hiburan nyangkut pulauwin,1,Neutral
22,2025-11-12T04:52:34Z,@MrBrandonSchofield,"lumayan buat jajan, thanks PULAUWIN 😆”",lumayan buat jajan thanks PULAUWIN,lumayan buat jajan thanks pulauwin,lumayan buat jajan thanks pulauwin,"['lumayan', 'buat', 'jajan', 'thanks', 'pulauwin']","['lumayan', 'jajan', 'thanks', 'pulauwin']",lumayan jajan thanks pulauwin,1,Neutral
23,2025-11-12T04:52:25Z,@TonyGriffiths-f9h,"lagi gabut, ya ke P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? lah.",lagi gabut ya ke PULAUWIN lah,lagi gabut ya ke pulauwin lah,lagi gabut ya ke pulauwin lah,"['lagi', 'gabut', 'ya', 'ke', 'pulauwin', 'lah']","['gabut', 'pulauwin']",gabut pulauwin,1,Neutral
24,2025-11-12T04:52:23Z,@ArnoldoCrothers-l5b,"Cuan gak ada abisnya, cuma di P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?",Cuan gak ada abisnya cuma di PULAUWIN,cuan gak ada abisnya cuma di pulauwin,cuan tidak ada abisnya cuma di pulauwin,"['cuan', 'tidak', 'ada', 'abisnya', 'cuma', 'di', 'pulauwin']","['cuan', 'abisnya', 'pulauwin']",cuan abisnya pulauwin,1,Neutral
25,2025-11-12T04:52:20Z,@MissTinaRobson,Gokil parah! WD lagi-lagi di P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?,Gokil parah WD lagilagi di PULAUWIN,gokil parah wd lagilagi di pulauwin,gokil parah wd lagilagi di pulauwin,"['gokil', 'parah', 'wd', 'lagilagi', 'di', 'pulauwin']","['gokil', 'parah', 'wd', 'lagilagi', 'pulauwin']",gokil parah wd lagilagi pulauwin,0,Negative
26,2025-11-12T04:52:18Z,@TobyKnight-d2x,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=390"">06:30</a> P U L A U W I N bahaya buat orang ketagihan",a href P U L A U W I N bahaya buat orang ketagihan,a href p u l a u w i n bahaya buat orang ketagihan,a href p u l a u w i n bahaya buat orang ketagihan,"['a', 'href', 'p', 'u', 'l', 'a', 'u', 'w', 'i', 'n', 'bahaya', 'buat', 'orang', 'ketagihan']","['href', 'p', 'u', 'l', 'u', 'w', 'n', 'bahaya', 'orang', 'ketagihan']",href p u l u w n bahaya orang ketagihan,1,Neutral
27,2025-11-12T04:52:17Z,@WayneBurton-Fox,FOYA-FOYA juga seru banget gara-gara PuIauwin,FOYAFOYA juga seru banget garagara PuIauwin,foyafoya juga seru banget garagara puiauwin,foyafoya juga seru banget garagara puiauwin,"['foyafoya', 'juga', 'seru', 'banget', 'garagara', 'puiauwin']","['foyafoya', 'seru', 'banget', 'garagara', 'puiauwin']",foyafoya seru banget garagara puiauwin,1,Neutral
28,2025-11-12T04:52:16Z,@MrMathewJones,"apalagi ini <a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=421"">07:01</a> Ｐ ＵＬ Ａ Ｕ W I N ⚡",apalagi ini a href Ｐ ＵＬ Ａ Ｕ W I N,apalagi ini a href ｐ ｕｌ ａ ｕ w i n,apalagi ini a href ｐ ｕｌ ａ ｕ w i n,"['apalagi', 'ini', 'a', 'href', 'ｐ', 'ｕｌ', 'ａ', 'ｕ', 'w', 'i', 'n']","['href', 'ｐ', 'ｕｌ', 'ａ', 'ｕ', 'w', 'n']",href ｐ ｕｌ ａ ｕ w n,1,Neutral
29,2025-11-12T04:52:09Z,@LisaWilson-o9u,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=335"">05:35</a> P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? tempat ngadu nasib wkwkw",a href PULAUWIN tempat ngadu nasib wkwkw,a href pulauwin tempat ngadu nasib wkwkw,a href pulauwin tempat ngadu nasib wkwkw,"['a', 'href', 'pulauwin', 'tempat', 'ngadu', 'nasib', 'wkwkw']","['href', 'pulauwin', 'ngadu', 'nasib', 'wkwkw']",href pulauwin ngadu nasib wkwkw,1,Neutral
30,2025-11-12T04:51:59Z,@martinussitohang7131,"harus segera disosialisasikan secepatnya, apalagi tingkat kepercayaan kpd menteri keuangan sedang bagus-bagusnya..,<br>jangan sampai para pelaku korupsi curi start membangun framing negatif ke masyarakat agar sikonnya jadi tidak kondusif..!!",harus segera disosialisasikan secepatnya apalagi tingkat kepercayaan kpd menteri keuangan sedang bagusbagusnyabrjangan sampai para pelaku korupsi curi start membangun framing negatif ke masyarakat agar sikonnya jadi tidak kondusif,harus segera disosialisasikan secepatnya apalagi tingkat kepercayaan kpd menteri keuangan sedang bagusbagusnyabrjangan sampai para pelaku korupsi curi start membangun framing negatif ke masyarakat agar sikonnya jadi tidak kondusif,harus segera disosialisasikan secepatnya apalagi tingkat kepercayaan kpd menteri keuangan sedang bagusbagusnyabrjangan sampai para pelaku korupsi curi start membangun framing negatif ke masyarakat agar sikonnya jadi tidak kondusif,"['harus', 'segera', 'disosialisasikan', 'secepatnya', 'apalagi', 'tingkat', 'kepercayaan', 'kpd', 'menteri', 'keuangan', 'sedang', 'bagusbagusnyabrjangan', 'sampai', 'para', 'pelaku', 'korupsi', 'curi', 'start', 'membangun', 'framing', 'negatif', 'ke', 'masyarakat', 'agar', 'sikonnya', 'jadi', 'tidak', 'kondusif']","['disosialisasikan', 'secepatnya', 'tingkat', 'kepercayaan', 'kpd', 'menteri', 'keuangan', 'bagusbagusnyabrjangan', 'pelaku', 'korupsi', 'curi', 'start', 'membangun', 'framing', 'negatif', 'masyarakat', 'sikonnya', 'kondusif']",disosialisasikan secepatnya tingkat kepercayaan kpd menteri keuangan bagusbagusnyabrjangan pelaku korupsi curi start membangun framing negatif masyarakat sikonnya kondusif,2,Positive
31,2025-11-12T04:50:34Z,@wijayakertarajasa642,saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masi tetap,saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masi tetap,saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masi tetap,saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masih tetap,"['saya', 'agak', 'pesimis', 'harga', 'akan', 'naik', 'jika', 'redominasi', 'tetapi', 'standar', 'gaji', 'masih', 'tetap']","['pesimis', 'harga', 'redominasi', 'standar', 'gaji']",pesimis harga redominasi standar gaji,0,Negative
32,2025-11-12T04:49:43Z,@NN-dt2ov,"Redenominasi disaat inflasi &lt;10% .. kalau 2 digit ke atas kek Zimbabwe, Venezuela, etc. Ya dijamin gagal. Faktanya inflasi Indonesia ga nyampe 3%. Apalagi kebijakan dan arah politik Presiden banyak memangkas akar permasalahan negeri ini, jadi berkesinambungan semua dan redenominasi ini jadi langkah yang tepat. Kecuali buat antek asing dan koruptor, perusak negara !",Redenominasi disaat inflasi lt  kalau  digit ke atas kek Zimbabwe Venezuela etc Ya dijamin gagal Faktanya inflasi Indonesia ga nyampe  Apalagi kebijakan dan arah politik Presiden banyak memangkas akar permasalahan negeri ini jadi berkesinambungan semua dan redenominasi ini jadi langkah yang tepat Kecuali buat antek asing dan koruptor perusak negara,redenominasi disaat inflasi lt  kalau  digit ke atas kek zimbabwe venezuela etc ya dijamin gagal faktanya inflasi indonesia ga nyampe  apalagi kebijakan dan arah politik presiden banyak memangkas akar permasalahan negeri ini jadi berkesinambungan semua dan redenominasi ini jadi langkah yang tepat kecuali buat antek asing dan koruptor perusak negara,redenominasi disaat inflasi lt kalau digit ke atas kek zimbabwe venezuela etc ya dijamin gagal faktanya inflasi indonesia tidak nyampe apalagi kebijakan dan arah politik presiden banyak memangkas akar permasalahan negeri ini jadi berkesinambungan semua dan redenominasi ini jadi langkah yang tepat kecuali buat antek asing dan koruptor perusak negara,"['redenominasi', 'disaat', 'inflasi', 'lt', 'kalau', 'digit', 'ke', 'atas', 'kek', 'zimbabwe', 'venezuela', 'etc', 'ya', 'dijamin', 'gagal', 'faktanya', 'inflasi', 'indonesia', 'tidak', 'nyampe', 'apalagi', 'kebijakan', 'dan', 'arah', 'politik', 'presiden', 'banyak', 'memangkas', 'akar', 'permasalahan', 'negeri', 'ini', 'jadi', 'berkesinambungan', 'semua', 'dan', 'redenominasi', 'ini', 'jadi', 'langkah', 'yang', 'tepat', 'kecuali', 'buat', 'antek', 'asing', 'dan', 'koruptor', 'perusak', 'negara']","['redenominasi', 'disaat', 'inflasi', 'lt', 'digit', 'kek', 'zimbabwe', 'venezuela', 'etc', 'dijamin', 'gagal', 'faktanya', 'inflasi', 'indonesia', 'nyampe', 'kebijakan', 'arah', 'politik', 'presiden', 'memangkas', 'akar', 'permasalahan', 'negeri', 'berkesinambungan', 'redenominasi', 'langkah', 'kecuali', 'antek', 'asing', 'koruptor', 'perusak', 'negara']",redenominasi disaat inflasi lt digit kek zimbabwe venezuela etc dijamin gagal faktanya inflasi indonesia nyampe kebijakan arah politik presiden memangkas akar permasalahan negeri berkesinambungan redenominasi langkah kecuali antek asing koruptor perusak negara,0,Negative
33,2025-11-12T04:48:45Z,@RaihanWardhanaa,Angka 0 dibelakangnya dijadikan sangat lebih kecil buat adaptasi,Angka  dibelakangnya dijadikan sangat lebih kecil buat adaptasi,angka  dibelakangnya dijadikan sangat lebih kecil buat adaptasi,angka dibelakangnya dijadikan sangat lebih kecil buat adaptasi,"['angka', 'dibelakangnya', 'dijadikan', 'sangat', 'lebih', 'kecil', 'buat', 'adaptasi']","['angka', 'dibelakangnya', 'dijadikan', 'adaptasi']",angka dibelakangnya dijadikan adaptasi,1,Neutral
34,2025-11-12T04:48:02Z,@ammarnash,Apakah munking di masa depan sebutan duit indo akan mirid malay,Apakah munking di masa depan sebutan duit indo akan mirid malay,apakah munking di masa depan sebutan duit indo akan mirid malay,apakah munking di masa depan sebutan duit indo akan mirid malay,"['apakah', 'munking', 'di', 'masa', 'depan', 'sebutan', 'duit', 'indo', 'akan', 'mirid', 'malay']","['munking', 'sebutan', 'duit', 'indo', 'mirid', 'malay']",munking sebutan duit indo mirid malay,1,Neutral
